iter	Passed	Remaining
497	1090	1099
498	1092	1096
499	1094	1094
500	1096	1091
501	1098	1089
502	1100	1086
503	1101	1084
504	1103	1081
505	1105	1079
506	1107	1076
507	1109	1074
508	1111	1071
509	1113	1069
510	1115	1067
511	1116	1064
512	1118	1062
513	1120	1059
514	1122	1057
515	1124	1054
516	1126	1052
517	1128	1049
518	1129	1047
519	1131	1044
520	1133	1042
521	1135	1039
522	1137	1037
523	1139	1034
524	1141	1032
525	1142	1029
526	1144	1027
527	1146	1025
528	1148	1022
529	1151	1020
530	1153	1019
531	1155	1016
532	1158	1015
533	1160	1012
534	1163	1010
535	1165	1008
536	1167	1006
537	1170	1004
538	1172	1002
539	1174	1000
540	1176	997
541	1178	995
542	1180	993
543	1182	991
544	1184	988
545	1186	986
546	1188	984
547	1190	981
548	1192	979
549	1194	977
550	1196	975
551	1198	972
552	1200	970
553	1202	968
554	1204	965
555	1206	963
556	1208	961
557	1210	958
558	1212	956
559	1214	954
560	1216	951
561	1218	949
562	1220	947
563	1222	945
564	1224	942
565	1226	940
566	1228	938
567	1230	936
568	1233	934
569	1235	931
570	1237	929
571	1239	927
572	1241	925
573	1243	923
574	1246	921
575	1248	918
576	1250	916
577	1252	914
578	1254	912
579	1257	910
580	1260	908
581	1262	906
582	1264	904
583	1266	901
584	1267	899
585	1269	897
586	1272	895
587	1274	892
588	1276	890
589	1278	888
590	1280	886
591	1284	885
592	1286	883
593	1289	881
594	1291	879
595	1293	876
596	1295	874
597	1297	872
598	1299	870
599	1302	868
600	1304	865
601	1306	863
602	1308	861
603	1310	859
604	1312	856
605	1314	854
606	1316	852
607	1319	850
608	1321	848
609	1323	846
610	1326	844
611	1328	842
612	1330	840
613	1333	838
614	1335	835
615	1337	833
616	1338	831
617	1340	828
618	1342	826
619	1344	824
620	1346	821
621	1348	819
622	1350	817
623	1352	815
624	1354	812
625	1356	810
626	1358	808
627	1360	805
628	1361	803
629	1363	800
630	1365	798
631	1367	796
632	1369	794
633	1371	791
634	1374	789
635	1376	787
636	1378	785
637	1379	782
638	1382	780
639	1384	778
640	1386	776
641	1388	774
642	1390	772
643	1392	769
644	1394	767
645	1397	765
646	1399	763
647	1401	761
648	1403	759
649	1405	756
650	1407	754
651	1409	752
652	1411	750
653	1413	747
654	1415	745
655	1417	743
656	1419	741
657	1421	739
658	1424	736
659	1425	734
660	1428	732
661	1430	730
662	1432	728
663	1434	725
664	1436	723
665	1439	721
666	1441	719
667	1443	717
668	1446	715
669	1448	713
670	1450	711
671	1453	709
672	1454	706
673	1456	704
674	1458	702
675	1460	700
676	1462	697
677	1465	695
678	1467	693
679	1469	691
680	1471	689
681	1473	687
682	1476	685
683	1479	683
684	1481	681
685	1483	678
686	1485	676
687	1487	674
688	1489	672
689	1491	670
690	1493	667
691	1495	665
692	1497	663
693	1499	661
694	1501	658
695	1503	656
696	1505	654
697	1507	652
698	1509	650
699	1511	647
700	1513	645
701	1515	643
702	1517	640
703	1519	638
704	1520	636
705	1522	634
706	1524	631
707	1526	629
708	1528	627
709	1530	625
710	1532	622
711	1534	620
712	1536	618
713	1538	616
714	1540	613
715	1542	611
716	1544	609
717	1546	607
718	1548	605
719	1550	603
720	1552	600
721	1555	598
722	1557	596
723	1559	594
724	1561	592
725	1563	590
726	1565	587
727	1567	585
728	1569	583
729	1571	581
730	1573	579
731	1575	576
732	1578	574
733	1580	572
734	1582	570
735	1585	568
736	1587	566
737	1589	564
738	1592	562
739	1594	560
740	1597	558
741	1599	556
742	1601	554
743	1603	551
744	1605	549
745	1608	547
746	1610	545
747	1612	543
748	1614	541
749	1616	538
750	1618	536
751	1620	534
752	1622	532
753	1624	530
754	1626	527
755	1628	525
756	1630	523
757	1632	521
758	1635	519
759	1637	517
760	1639	514
761	1641	512
762	1643	510
763	1645	508
764	1647	506
765	1649	503
766	1651	501
767	1653	499
768	1655	497
769	1657	494
770	1659	492
771	1661	490
772	1663	488
773	1665	486
774	1667	484
775	1669	481
776	1671	479
777	1673	477
778	1676	475
779	1678	473
780	1679	471
781	1682	468
782	1684	466
783	1686	464
784	1689	462
785	1690	460
786	1693	458
787	1695	456
788	1697	453
789	1699	451
790	1701	449
791	1703	447
792	1705	445
793	1707	442
794	1709	440
795	1711	438
796	1714	436
797	1715	434
798	1717	432
799	1720	430
800	1722	427
801	1725	425
802	1727	423
803	1729	421
804	1731	419
805	1733	417
806	1735	414
807	1737	412
808	1739	410
809	1741	408
810	1743	406
811	1745	404
812	1747	401
813	1749	399
814	1751	397
815	1753	395
816	1755	393
817	1757	390
818	1759	388
819	1761	386
820	1763	384
821	1765	382
822	1767	380
823	1769	377
824	1771	375
825	1773	373
826	1775	371
827	1778	369
828	1779	367
829	1782	364
830	1784	362
831	1786	360
832	1788	358
833	1790	356
834	1792	354
835	1795	352
836	1797	350
837	1799	347
838	1801	345
839	1804	343
840	1806	341
841	1808	339
842	1810	337
843	1812	334
844	1814	332
845	1816	330
846	1818	328
847	1820	326
848	1822	324
849	1824	321
850	1826	319
851	1828	317
852	1831	315
853	1833	313
854	1835	311
855	1837	309
856	1839	306
857	1841	304
858	1843	302
859	1845	300
860	1847	298
861	1849	296
862	1851	293
863	1853	291
864	1854	289
865	1856	287
866	1858	285
867	1860	282
868	1862	280
869	1864	278
870	1866	276
871	1868	274
872	1870	272
873	1872	269
874	1875	267
875	1877	265
876	1879	263
877	1881	261
878	1883	259
879	1885	257
880	1888	255
881	1890	252
882	1892	250
883	1895	248
884	1896	246
885	1898	244
886	1900	242
887	1902	239
888	1904	237
889	1906	235
890	1908	233
891	1910	231
892	1912	229
893	1914	226
894	1916	224
895	1917	222
896	1920	220
897	1922	218
898	1923	216
899	1925	213
900	1927	211
901	1929	209
902	1931	207
903	1933	205
904	1935	203
905	1936	200
906	1938	198
907	1940	196
908	1942	194
909	1944	192
910	1946	190
911	1948	187
912	1950	185
913	1952	183
914	1953	181
915	1955	179
916	1957	177
917	1959	175
918	1961	172
919	1963	170
920	1965	168
921	1967	166
922	1968	164
923	1970	162
924	1972	159
925	1974	157
926	1976	155
927	1978	153
928	1980	151
929	1982	149
930	1984	147
931	1985	144
932	1987	142
933	1989	140
934	1991	138
935	1993	136
936	1995	134
937	1997	132
938	1999	129
939	2000	127
940	2002	125
941	2004	123
942	2006	121
943	2008	119
944	2010	117
945	2012	114
946	2014	112
947	2016	110
948	2018	108
949	2020	106
950	2022	104
951	2024	102
952	2026	99
953	2029	97
954	2031	95
955	2033	93
956	2036	91
957	2037	89
958	2039	87
959	2042	85
960	2044	82
961	2046	80
962	2048	78
963	2049	76
964	2051	74
965	2053	72
966	2055	70
967	2057	68
968	2059	65
969	2061	63
970	2063	61
971	2065	59
972	2066	57
973	2068	55
974	2070	53
975	2072	50
976	2074	48
977	2076	46
978	2078	44
979	2080	42
980	2082	40
981	2083	38
982	2085	36
983	2087	33
984	2089	31
985	2091	29
986	2093	27
987	2095	25
988	2097	23
989	2098	21
990	2100	19
991	2102	16
992	2104	14
993	2106	12
994	2108	10
995	2110	8
996	2111	6
997	2113	4
998	2115	2
999	2117	0
